mode: set
omsu_mirror/cmd/loadtest/main.go:11.13,26.35 11 0
omsu_mirror/internal/storage/sqlite.go:107.28,108.41 1 1
omsu_mirror/internal/storage/sqlite.go:108.41,110.4 1 0
omsu_mirror/internal/storage/sqlite.go:112.2,112.12 1 1
omsu_mirror/internal/storage/sqlite.go:115.32,117.2 1 1
omsu_mirror/internal/api/handlers_dict.go:20.54,21.68 1 0
omsu_mirror/internal/api/handlers_dict.go:21.68,23.3 1 0
omsu_mirror/internal/api/handlers_dict.go:32.58,33.72 1 0
omsu_mirror/internal/api/handlers_dict.go:33.72,35.3 1 0
omsu_mirror/internal/api/handlers_dict.go:44.54,45.68 1 0
omsu_mirror/internal/api/handlers_dict.go:45.68,47.3 1 0
omsu_mirror/internal/api/handlers_dict.go:50.103,54.15 2 0
omsu_mirror/internal/api/handlers_dict.go:54.15,55.51 1 0
omsu_mirror/internal/api/handlers_dict.go:55.51,60.4 4 0
omsu_mirror/internal/api/handlers_dict.go:63.2,63.44 1 0
omsu_mirror/internal/api/handlers_dict.go:63.44,67.3 3 0
omsu_mirror/internal/api/handlers_dict.go:70.2,71.16 2 0
omsu_mirror/internal/api/handlers_dict.go:71.16,74.3 2 0
omsu_mirror/internal/api/handlers_dict.go:77.2,85.16 3 0
omsu_mirror/internal/api/handlers_dict.go:85.16,88.3 2 0
omsu_mirror/internal/api/handlers_dict.go:89.2,92.21 3 0
omsu_mirror/internal/api/handlers_dict.go:103.57,105.41 2 0
omsu_mirror/internal/api/handlers_dict.go:105.41,107.3 1 0
omsu_mirror/internal/api/handlers_dict.go:109.2,110.16 2 0
omsu_mirror/internal/api/handlers_dict.go:110.16,113.3 2 0
omsu_mirror/internal/api/handlers_dict.go:114.2,114.18 1 0
omsu_mirror/internal/api/handlers_dict.go:114.18,116.3 1 0
omsu_mirror/internal/api/handlers_dict.go:117.2,117.63 1 0
omsu_mirror/internal/api/handlers_dict.go:128.60,130.41 2 0
omsu_mirror/internal/api/handlers_dict.go:130.41,132.3 1 0
omsu_mirror/internal/api/handlers_dict.go:134.2,135.16 2 0
omsu_mirror/internal/api/handlers_dict.go:135.16,138.3 2 0
omsu_mirror/internal/api/handlers_dict.go:139.2,139.16 1 0
omsu_mirror/internal/api/handlers_dict.go:139.16,141.3 1 0
omsu_mirror/internal/api/handlers_dict.go:142.2,142.61 1 0
omsu_mirror/internal/api/handlers_dict.go:153.57,155.41 2 0
omsu_mirror/internal/api/handlers_dict.go:155.41,157.3 1 0
omsu_mirror/internal/api/handlers_dict.go:159.2,160.16 2 0
omsu_mirror/internal/api/handlers_dict.go:160.16,163.3 2 0
omsu_mirror/internal/api/handlers_dict.go:164.2,164.18 1 0
omsu_mirror/internal/api/handlers_dict.go:164.18,166.3 1 0
omsu_mirror/internal/api/handlers_dict.go:167.2,167.63 1 0
omsu_mirror/internal/api/handlers_meta.go:21.51,44.2 5 1
omsu_mirror/internal/api/handlers_meta.go:52.55,67.2 4 1
omsu_mirror/internal/api/handlers_meta.go:75.57,80.15 3 0
omsu_mirror/internal/api/handlers_meta.go:80.15,82.3 1 0
omsu_mirror/internal/api/handlers_meta.go:83.2,83.17 1 0
omsu_mirror/internal/api/handlers_meta.go:83.17,85.3 1 0
omsu_mirror/internal/api/handlers_meta.go:86.2,86.16 1 0
omsu_mirror/internal/api/handlers_meta.go:86.16,88.3 1 0
omsu_mirror/internal/api/handlers_meta.go:89.2,89.22 1 0
omsu_mirror/internal/api/handlers_meta.go:89.22,91.3 1 0
omsu_mirror/internal/api/handlers_meta.go:93.2,94.16 2 0
omsu_mirror/internal/api/handlers_meta.go:94.16,96.3 1 0
omsu_mirror/internal/api/handlers_meta.go:98.2,103.4 1 0
omsu_mirror/internal/api/handlers_meta.go:114.56,116.12 1 0
omsu_mirror/internal/api/handlers_meta.go:116.12,119.56 3 0
omsu_mirror/internal/api/handlers_meta.go:119.56,121.4 1 0
omsu_mirror/internal/api/handlers_meta.go:122.3,122.59 1 0
omsu_mirror/internal/api/handlers_meta.go:122.59,124.4 1 0
omsu_mirror/internal/api/handlers_meta.go:125.3,125.42 1 0
omsu_mirror/internal/api/handlers_meta.go:128.2,133.4 1 0
omsu_mirror/internal/api/handlers_schedule.go:41.69,42.34 1 1
omsu_mirror/internal/api/handlers_schedule.go:42.34,45.42 3 0
omsu_mirror/internal/api/handlers_schedule.go:45.42,47.4 1 0
omsu_mirror/internal/api/handlers_schedule.go:49.3,52.45 2 0
omsu_mirror/internal/api/handlers_schedule.go:52.45,56.4 3 0
omsu_mirror/internal/api/handlers_schedule.go:59.3,60.17 2 0
omsu_mirror/internal/api/handlers_schedule.go:60.17,62.4 1 0
omsu_mirror/internal/api/handlers_schedule.go:64.3,64.55 1 0
omsu_mirror/internal/api/handlers_schedule.go:64.55,69.4 4 0
omsu_mirror/internal/api/handlers_schedule.go:72.3,74.21 3 0
omsu_mirror/internal/api/handlers_schedule.go:75.16,76.64 1 0
omsu_mirror/internal/api/handlers_schedule.go:77.16,78.64 1 0
omsu_mirror/internal/api/handlers_schedule.go:79.19,80.67 1 0
omsu_mirror/internal/api/handlers_schedule.go:83.3,83.17 1 0
omsu_mirror/internal/api/handlers_schedule.go:83.17,85.19 1 0
omsu_mirror/internal/api/handlers_schedule.go:85.19,89.5 3 0
omsu_mirror/internal/api/handlers_schedule.go:90.4,90.119 1 0
omsu_mirror/internal/api/handlers_schedule.go:94.3,101.17 3 0
omsu_mirror/internal/api/handlers_schedule.go:101.17,104.4 2 0
omsu_mirror/internal/api/handlers_schedule.go:107.3,107.124 1 0
omsu_mirror/internal/api/handlers_schedule.go:107.124,109.4 1 0
omsu_mirror/internal/api/handlers_schedule.go:112.3,115.22 3 0
omsu_mirror/internal/api/handlers_search.go:20.51,22.20 2 0
omsu_mirror/internal/api/handlers_search.go:22.20,24.3 1 0
omsu_mirror/internal/api/handlers_search.go:25.2,25.22 1 0
omsu_mirror/internal/api/handlers_search.go:25.22,27.3 1 0
omsu_mirror/internal/api/handlers_search.go:29.2,31.31 3 0
omsu_mirror/internal/api/handlers_search.go:31.31,33.3 1 0
omsu_mirror/internal/api/handlers_search.go:35.2,38.25 2 0
omsu_mirror/internal/api/handlers_search.go:38.25,44.31 2 0
omsu_mirror/internal/api/handlers_search.go:44.31,45.20 1 0
omsu_mirror/internal/api/handlers_search.go:46.25,47.55 1 0
omsu_mirror/internal/api/handlers_search.go:48.25,49.55 1 0
omsu_mirror/internal/api/handlers_search.go:50.28,51.63 1 0
omsu_mirror/internal/api/handlers_search.go:54.3,54.66 1 0
omsu_mirror/internal/api/handlers_search.go:57.2,57.65 1 0
omsu_mirror/internal/api/middleware.go:13.39,14.34 1 1
omsu_mirror/internal/api/middleware.go:14.34,28.3 5 1
omsu_mirror/internal/api/middleware.go:31.50,32.34 1 1
omsu_mirror/internal/api/middleware.go:32.34,36.86 2 0
omsu_mirror/internal/api/middleware.go:36.86,40.4 1 0
omsu_mirror/internal/api/middleware.go:41.3,41.18 1 0
omsu_mirror/internal/api/middleware.go:46.79,50.43 1 1
omsu_mirror/internal/api/middleware.go:50.43,52.4 1 1
omsu_mirror/internal/api/middleware.go:53.42,58.4 1 1
omsu_mirror/internal/api/middleware.go:63.48,64.34 1 1
omsu_mirror/internal/api/middleware.go:64.34,75.3 7 1
omsu_mirror/internal/api/router.go:39.11,77.2 9 1
omsu_mirror/internal/api/router.go:79.32,81.34 1 1
omsu_mirror/internal/api/router.go:81.34,83.3 1 1
omsu_mirror/internal/api/router.go:85.2,110.65 16 1
omsu_mirror/internal/api/router.go:113.32,115.2 1 0
omsu_mirror/internal/api/router.go:117.35,119.2 1 0
omsu_mirror/internal/sync/dict_sync.go:16.62,37.43 13 0
omsu_mirror/internal/sync/dict_sync.go:37.43,39.62 2 0
omsu_mirror/internal/sync/dict_sync.go:39.62,41.4 1 0
omsu_mirror/internal/sync/dict_sync.go:42.3,43.20 2 0
omsu_mirror/internal/sync/dict_sync.go:44.8,44.29 1 0
omsu_mirror/internal/sync/dict_sync.go:44.29,46.3 1 0
omsu_mirror/internal/sync/dict_sync.go:48.2,48.39 1 0
omsu_mirror/internal/sync/dict_sync.go:48.39,50.64 2 0
omsu_mirror/internal/sync/dict_sync.go:50.64,52.4 1 0
omsu_mirror/internal/sync/dict_sync.go:53.3,55.20 3 0
omsu_mirror/internal/sync/dict_sync.go:56.8,56.27 1 0
omsu_mirror/internal/sync/dict_sync.go:56.27,58.3 1 0
omsu_mirror/internal/sync/dict_sync.go:60.2,60.43 1 0
omsu_mirror/internal/sync/dict_sync.go:60.43,62.62 2 0
omsu_mirror/internal/sync/dict_sync.go:62.62,64.4 1 0
omsu_mirror/internal/sync/dict_sync.go:65.3,66.20 2 0
omsu_mirror/internal/sync/dict_sync.go:67.8,67.29 1 0
omsu_mirror/internal/sync/dict_sync.go:67.29,69.3 1 0
omsu_mirror/internal/sync/dict_sync.go:71.2,71.57 1 0
omsu_mirror/internal/sync/dict_sync.go:71.57,74.3 2 0
omsu_mirror/internal/sync/dict_sync.go:76.2,76.107 1 0
omsu_mirror/internal/sync/dict_sync.go:76.107,78.3 1 0
omsu_mirror/internal/sync/dict_sync.go:80.2,81.12 2 0
omsu_mirror/internal/sync/dict_sync.go:84.70,91.16 2 0
omsu_mirror/internal/sync/dict_sync.go:91.16,93.3 1 0
omsu_mirror/internal/sync/dict_sync.go:95.2,100.46 4 0
omsu_mirror/internal/sync/dict_sync.go:100.46,101.36 1 0
omsu_mirror/internal/sync/dict_sync.go:101.36,103.4 1 0
omsu_mirror/internal/sync/dict_sync.go:106.2,106.12 1 0
omsu_mirror/internal/sync/schedule_sync.go:14.65,16.16 2 0
omsu_mirror/internal/sync/schedule_sync.go:16.16,18.3 1 0
omsu_mirror/internal/sync/schedule_sync.go:20.2,25.27 4 0
omsu_mirror/internal/sync/schedule_sync.go:25.27,26.10 1 0
omsu_mirror/internal/sync/schedule_sync.go:27.21,28.20 1 0
omsu_mirror/internal/sync/schedule_sync.go:29.11,29.11 0 0
omsu_mirror/internal/sync/schedule_sync.go:32.3,33.22 2 0
omsu_mirror/internal/sync/schedule_sync.go:33.22,34.12 1 0
omsu_mirror/internal/sync/schedule_sync.go:37.3,39.17 3 0
omsu_mirror/internal/sync/schedule_sync.go:39.17,41.12 2 0
omsu_mirror/internal/sync/schedule_sync.go:44.3,45.21 2 0
omsu_mirror/internal/sync/schedule_sync.go:46.16,47.62 1 0
omsu_mirror/internal/sync/schedule_sync.go:48.16,49.62 1 0
omsu_mirror/internal/sync/schedule_sync.go:50.19,51.65 1 0
omsu_mirror/internal/sync/schedule_sync.go:52.11,54.12 2 0
omsu_mirror/internal/sync/schedule_sync.go:57.3,57.17 1 0
omsu_mirror/internal/sync/schedule_sync.go:57.17,61.12 4 0
omsu_mirror/internal/sync/schedule_sync.go:64.3,64.84 1 0
omsu_mirror/internal/sync/schedule_sync.go:64.84,68.4 3 0
omsu_mirror/internal/sync/schedule_sync.go:71.2,71.15 1 0
omsu_mirror/internal/sync/schedule_sync.go:71.15,74.3 2 0
omsu_mirror/internal/sync/schedule_sync.go:76.2,76.111 1 0
omsu_mirror/internal/sync/schedule_sync.go:76.111,78.3 1 0
omsu_mirror/internal/sync/schedule_sync.go:80.2,81.12 2 0
omsu_mirror/internal/sync/schedule_sync.go:84.67,88.2 1 0
omsu_mirror/internal/sync/schedule_sync.go:90.128,97.16 2 0
omsu_mirror/internal/sync/schedule_sync.go:97.16,99.3 1 0
omsu_mirror/internal/sync/schedule_sync.go:101.2,101.121 1 0
omsu_mirror/internal/sync/schedule_sync.go:101.121,103.3 1 0
omsu_mirror/internal/sync/schedule_sync.go:105.2,106.12 2 0
omsu_mirror/internal/sync/syncer.go:45.11,58.2 1 0
omsu_mirror/internal/sync/syncer.go:60.53,71.2 3 0
omsu_mirror/internal/sync/syncer.go:73.72,77.25 3 0
omsu_mirror/internal/sync/syncer.go:77.25,80.3 2 0
omsu_mirror/internal/sync/syncer.go:82.2,85.25 4 0
